There are 5132 results in 206 pages.
Postcode 1062GX: 2134 EUR/m2 (82m2 E175000, appartement)
Postcode 1094GM: 4838 EUR/m2 (62m2 E300000, appartement)
Postcode 1094GR: 4285 EUR/m2 (105m2 E450000, appartement)
Postcode 1087CJ: 3376 EUR/m2 (117m2 E395000, woonhuis)
Postcode 1087CJ: 3158 EUR/m2 (158m2 E499000, woonhuis)
Postcode 1087EK: 3660 EUR/m2 (150m2 E549000, woonhuis)
Postcode 1015VE: 4831 EUR/m2 (119m2 E575000, appartement)
Postcode 1015WE: 4686 EUR/m2 (51m2 E239000, appartement)
Postcode 1033WG: 2647 EUR/m2 (85m2 E225000, appartement)
Postcode 1033WG: 3125 EUR/m2 (72m2 E225000, appartement)
Postcode 1021HW: 2430 EUR/m2 (72m2 E175000, appartement)
Postcode 1021VL: 3658 EUR/m2 (41m2 E150000, appartement)
Postcode 1034TD: 1923 EUR/m2 (91m2 E175000, appartement)
Postcode 1036KD: 2777 EUR/m2 (117m2 E325000, woonhuis)
Postcode 1023EA: 5000 EUR/m2 (100m2 E500000, woonhuis)
Postcode 1102JH: 1964 EUR/m2 (140m2 E275000, woonhuis)
Postcode 1033PA: 2944 EUR/m2 (45m2 E132500, appartement)
Postcode 1095SE: 2844 EUR/m2 (77m2 E219000, appartement)
Postcode 1087MR: 4464 EUR/m2 (170m2 E759000, woonhuis)
Postcode 1018VT: 4850 EUR/m2 (67m2 E325000, appartement)
 - Running average after this page is 3583
Postcode 1025LM: 3663 EUR/m2 (232m2 E850000, woonhuis)
Postcode 1023AA: 3666 EUR/m2 (135m2 E495000, woonhuis)
Postcode 1023AD: 3282 EUR/m2 (99m2 E325000, appartement)
Postcode 1068PM: 2526 EUR/m2 (93m2 E235000, appartement)
Postcode 1087BV: 3444 EUR/m2 (135m2 E465000, woonhuis)
Postcode 1083BW: 2612 EUR/m2 (80m2 E209000, appartement)
Postcode 1019DN: 4469 EUR/m2 (66m2 E295000, appartement)
Postcode 1018NA: 4069 EUR/m2 (215m2 E875000, appartement)
Postcode 1018MR: 3896 EUR/m2 (77m2 E300000, appartement)
Postcode 1035RG: 3198 EUR/m2 (131m2 E419011, woonhuis)
